Manuscript Identifier	COI	Funding
PONE-D-15-06964	The authors have declared that no competing interests exist.	"This work was supported by START grants (to R.H. and J.M.B.) of the Medical Faculty of the RWTH Aachen University. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-09643	The authors have declared that no competing interests exist.	"This research was funded by Fondecyt 11121239 to OC, Fondecyt 11140064 to MC, and NIH R01 NS042225 to JST. A doctoral Fellowship from Conicyt supports AR. Fondecyt 1120240 funded DV. Fondecyt 1121078 and Millennium Institute on Immunology and Immunotherapy P09-016-F supported FS. Fondecyt 1120126 funded HT."
PONE-D-15-11146	The authors have declared that no competing interests exist.	"The authors would like to thank the Research Support Foundation of the State of Minas Gerais (Fundação de Amparo à Pesquisa do Estado de Minas Gerais - FAPEMIG APQ - 01692-12; PPM00268/14 and BPD - 00312-14), National Council for Scientific and Technological Development (Conselho Nacional de Desenvolvimento Científico e Tecnológico – CNPq 481125/2013-2 and 302424/2011-3) and Coordination for the Improvement of Higher Education Personnel (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior – CAPES) for the support provided. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11167	The authors have declared that no competing interests exist.	This work was supported by NIH HL118861.
PONE-D-15-11203	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-11276	The authors have declared that no competing interests exist.	"This work was supported by grants from the Major State Basic Research Development Program of China (2012CB524906 to Gao X.; http://www.973.gov.cn/Default_3.aspx), National Natural Science Foundation of China (81270933 to Gao X.), Major State Basic Research Development Program of China (2011CB504004 to Gao X.), the Science and Technology Commission of Shanghai Municipality (07JC14011 to Gao X.), the National Ministry of Education Program (985 III-YFX0302 to Gao X.) and Shanghai Municipal Health Bureau Foundation (12GWZX0103 to Gao X.), National Natural Science Foundation of China for Young Scholar (81200627 to Yan HM., 81100602 to Chang XX., 81300682 to Xia MF.), Foundation of Fudan University, China (20520133483 to Yan HM., 20520133383 to Chang XX.)."
PONE-D-15-11369	The authors have declared that no competing interests exist.	"Peking Union Medical College graduated student innovation fund, 2011-1001-033, LY. The basic grant of Institute of Pathogen Biology, Chinese Academy of Medical Sciences, 2011IPB106, WPL."
PONE-D-15-11382	The authors have declared that no competing interests exist.	"Authors are funded by the Austrian Science Fund FWF DK SPIN W1206, FWF SFB F4404/14, European Community's Seventh Framework Program (FP7/2007-2013) under grant agreement n°603646 Multisyn. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11386	The authors have declared that no competing interests exist.	"The authors received support from National Basic Research Program of China (Project 973) Grant 2011CB504606. The funders had no role in study design, data collection and analysis, decision on publish, and preparation of the manuscript."
PONE-D-15-11390	The authors have declared that no competing interests exist.	MS is supported by a Ph.D. grant of the Agency for Innovation by Science and Technology (IWT/111457). IP was supported by the European Research Council under the European Union's Seventh Framework Program (FP7/2007-2013)/ERC grant agreement REJOIND n°294191.
PONE-D-15-11410	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-11468	The authors have declared that no competing interests exist.	"Support was provided by the Italian  Ministry of Health: Current research funds PRC 2010/001 [www.salute.gov.i] to MG. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11493	"The authors of this manuscript have the following competing interests: This study is funded in part by Bunge Ltd. PMS is an employee of Bunge Ltd. There are no patents, products in development or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials."	"The study was funded partly by the Netherlands Organisation for Applied Scientific Research (TNO) research program Healthy Nutrition and partly by Bunge Ltd. MCM received funding from TNO and Top Institute Food and Nutrition (TIFN), a public-private partnership on pre-competitive research in food and nutrition. Co-author P. Mark Stavro is employed by Bunge Ltd. Bunge Ltd provided support in the form of salary for author PMS and had a role in data collection (analyses of fatty acid composition of the oils). Bunge Ltd had no role in the data analysis, decision to publish, or preparation of the manuscript. The specific roles of PMS are articulated in the ‘author contributions’ section."
PONE-D-15-11506	The authors have declared that no competing interests exist.	This study was supported by the Swedish Research Council #521-2012-2654 and the Karolinska Institutet (provided salaries).
PONE-D-15-11520	The authors have declared that no competing interests exist.	"Research was supported by internal funding from Macquarie University. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Miss Sarah Baracz is the recipient of an Australian Postgraduate Award. "
PONE-D-15-11542	"There are no competing interests, employment, consultancy, patents, products in development, marketed products, etc from Novo Nordisk. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials. "	"This study was supported by NIH Grants DK094930 and DK094930S1, and grants from Novo Nordisk and JDRF. The PI only received grant money from Novo Nordisk to conduct this study. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-11545	The authors have declared that no competing interests exist.	"This study was supported by CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior), CNPq (Conselho Nacional de Desenvolvimento Científico e Tecnológico) and FAPESP (Fundação de Amparo à Pesquisa do Estado de São Paulo, n° 2011/19426-2). CAPES and CNPq granted scholarships and FAPESP has financed the research."
PONE-D-15-11558	The authors have declared that no competing interests exist.	"This research was supported by National Institutes of Health grants AG043375, AG014449, AG017617, GM007238, RR029893, TR000038, and the Alzheimer’s Association (IIRG-12-237253)."
PONE-D-15-11600	The authors would like to state that the employment of Miriam Haak by Miltenyi Biotec GmbH does not alter their adherence to PLOS ONE policies on sharing data and materials.	"This study was supported by grants from the Deutsche Forschungsgemeinschaft (Mu 1328/2-3; www.dfg.de) and the Deutsche Krebshilfe (10-1539-Mü3; www.krebshilfe.de). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. Miltenyi Biotec GmbH provided support in the form of salary for author 'MH,' but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific role of this author is articulated in the 'author contributions' section."
PONE-D-15-11663	The authors have declared that no competing interests exist.	"The present study was supported by Mexico National Council of Science and technology grant number 81359 to BE, and graduate  scholarship to AMG."
PONE-D-15-11692	The authors have declared that no competing interests exist.	This work was supported by funding from the Canadian Institutes of Health Research (RN299166) and the Réseau de Bioimagerie du Québec (RBIQ) to F. Lesage. Cong Zhang was supported by a Chinese Science Foundation (CSC) scholarship.
PONE-D-15-11695	The authors have declared that no competing interests exist.	"This study was funded by the Canadian Institutes of Health Research, the Fonds de Recherche du Quebec – Santé, and the Research Institute of the McGill University Health Centre.  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11697	The authors have declared that no competing interests exist.	"This work was supported by the Swedish Research Council, ALF Grant for funding for medical training and research, Zoega´s Foundation, O. E. and Edla Johanssons Scientific Foundation, Tore Nilson´s Foundation, and Åhlens´s Foundation. The research leading to these results has received funding from the European Union’s Seventh Framework Programme (FP7/2007-2013) under grant agreement n°602102 (EPITARGET). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11701	The authors have declared that no competing interests exist.	"This work was supported by Department of Defense W81XW-10-1-0528 (TSR); National Eye Institute EY022349 (TSR); Research to Prevent Blindness Unrestricted Funds (P. Sternberg); National Eye Institute P30-EY008126 (J. Schall). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11714	The authors have declared that no competing interests exist.	"This study was funded by the Canadian Institutes of Health Research Institute of Nutrition, Metabolism, and Diabetes (www.cihr-irsc.gc.ca, grant no. 126614 and 126754) and the Research and Development Corporation of Newfoundland (www.rdc.org, grant no. 5404.1090.103). DCA is supported by a trainee award from the Beatrice Hunter Cancer Research Institute, with funds provided by The Terry Fox Strategic Health Research Training Program in Cancer Research at CIHR and Memorial University of Newfoundland. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11716	The authors have declared that no competing interests exist.	"This work was funded by National Science Foundation, grant no. PHY 1430124, via award PFC: Center for Physics of Living Cells (http://www.nsf.gov/awardsearch/showAward?AWD_ID=1430124)."
PONE-D-15-11717	The authors have declared that no competing interests exist.	"This work was supported by grants from the National Cancer Institute (CCNE 1U54CA151881-01 VPT, SNG, MA, TL), Radiological Society of North America Research and Education Foundation (RSD1215, MA), Harvard Medical Faculty Physicians Faculty Radiology Foundation (MA), Deutsche Forschungsgemeinschaft (SF8841, EG), the Israeli Center of Excellence I-CORE (EG), and the Israel Science Foundation (EG, SNG). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11729	The authors have declared that no competing interests exist.	"This study was supported by grants from the National Research Council (CNPq - 474116/2008-5) and the Research Supporting Agency of Rio de Janeiro State (FAPERJ - E-26/111.732/2011). Further information concerning those agencies are founded on the following URLs: CNPq: http://www.cnpq.br/. FAPERJ: http://www.faperj.br/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11745	The authors have declared that no competing interests exist.	"This study was supported by the National Natural Science Foundation of China (30971261, 81170271, 81370370 and Distinguished Young Scholar 81325001), the Changjiang Scholars Program from Ministry of Education of China, the Guangdong Pearl River Scholars Program, the Program of National Key Clinical Specialties, the Sun Yat-Sen University Clinical Research 5010 Program, the Science and Technology Research for the Returned Overseas Chinese Scholars from the Ministry of Human Resources and Social Security of China (2011), the Guangdong Natural Science Fund Committee, China (S2011010004378) and the Guangzhou Government for Scientific Research Foundation for Returned Overseas Chinese Scholars."
PONE-D-15-11766	The authors have declared that no competing interests exist.	"This study was supported by a grant from Tzu-Chi General Hospital (TDRD103-40). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11781	The authors have declared that no competing interests exist.	"This study was funded by The Norwegian Research Council (http://www.forskningsradet.no/en/Home_page/1177315753906) (# 32198 to AK and #191749 to PØF), Health South East Region Norway (http://www.helse-sorost.no/ #39429 to AK) and The Norwegian Cancer Society (https://kreftforeningen.no/ # 422102 107744 - PR-2007-0132 to PØF).  Funding for open access charge was provided by: Research Programme of the EEA/Norway Grants (grant numer POL/NOR/196258/2013).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-11782	The authors have declared that no competing interests exist.	This study was supported by a grant of the Basic Science Research Program through the National Research Foundation of Korea (No. 2014R1A2A1A11049588).
