Manuscript Number,Current Status
PONE-D-15-06964R1,Completed Accept
PONE-D-15-09643R1,Completed Accept
PONE-D-15-11058,Completed Withdrawn
PONE-D-15-11074,Completed Reject
PONE-D-15-11111,Completed Reject
PONE-D-15-11114,Completed Withdrawn
PONE-D-15-11120,Completed Reject
PONE-D-15-11121,Completed Reject
PONE-D-15-11126R1,Completed Withdrawn
PONE-D-15-11134,Completed Reject
PONE-D-15-11135,Completed Reject
PONE-D-15-11146R2,Completed Accept
PONE-D-15-11167R1,Completed Accept
PONE-D-15-11189,Completed Reject
PONE-D-15-11199,Completed Reject
PONE-D-15-11203R1,Completed Accept
PONE-D-15-11206,Completed Reject
PONE-D-15-11211R2,Completed Reject
PONE-D-15-11216,Completed Reject
PONE-D-15-11218,Completed Reject
PONE-D-15-11242,Completed Reject
PONE-D-15-11273,Completed Reject
PONE-D-15-11276R1,Completed Accept
PONE-D-15-11284,Completed Withdrawn
PONE-D-15-11286,Completed Reject
PONE-D-15-11287,Completed Reject
PONE-D-15-11289,Completed Reject
PONE-D-15-11292,Completed Reject
PONE-D-15-11301,Completed Reject
PONE-D-15-11323,Completed Reject
PONE-D-15-11332,Completed Reject
PONE-D-15-11355,Completed Reject
PONE-D-15-11361,Completed Reject
PONE-D-15-11369R1,Completed Accept
PONE-D-15-11380,Completed Reject
PONE-D-15-11382R1,Completed Accept
PONE-D-15-11386R2,Completed Accept
PONE-D-15-11390R2,Completed Accept
PONE-D-15-11408,Completed Reject
PONE-D-15-11410R1,Completed Accept
PONE-D-15-11431,Completed Withdrawn
PONE-D-15-11445,Completed Reject
PONE-D-15-11460,Completed Reject
PONE-D-15-11468R1,Completed Accept
PONE-D-15-11493R2,Completed Accept
PONE-D-15-11504,Completed Withdrawn
PONE-D-15-11506R1,Completed Accept
PONE-D-15-11520R2,Completed Accept
PONE-D-15-11523,Completed Withdrawn
PONE-D-15-11525,Completed Withdrawn
PONE-D-15-11532,Completed Reject
PONE-D-15-11539,Completed Reject
PONE-D-15-11542R1,Completed Accept
PONE-D-15-11545R1,Completed Accept
PONE-D-15-11552,Completed Reject
PONE-D-15-11553,Completed Reject
PONE-D-15-11558R1,Completed Accept
PONE-D-15-11560,Completed Reject
PONE-D-15-11562,Completed Reject
PONE-D-15-11579,Completed Withdrawn
PONE-D-15-11584,Completed Withdrawn
PONE-D-15-11595,Completed Reject
PONE-D-15-11598,Completed Withdrawn
PONE-D-15-11599,Completed Reject
PONE-D-15-11600R1,Completed Accept
PONE-D-15-11631,Completed Withdrawn
PONE-D-15-11633,Completed Reject
PONE-D-15-11640,Completed Reject
PONE-D-15-11651,Completed Reject
PONE-D-15-11661,Completed Withdrawn
PONE-D-15-11663R1,Completed Accept
PONE-D-15-11692R1,Completed Accept
PONE-D-15-11695R1,Completed Accept
PONE-D-15-11697R1,Completed Accept
PONE-D-15-11701R1,Completed Accept
PONE-D-15-11706,Completed Reject
PONE-D-15-11713R3,Completed Reject
PONE-D-15-11714R3,Completed Accept
PONE-D-15-11716R1,Completed Accept
PONE-D-15-11717R1,Completed Accept
PONE-D-15-11722,Completed Reject
PONE-D-15-11729R1,Completed Accept
PONE-D-15-11731R1,Completed Reject
PONE-D-15-11745R2,Completed Accept
PONE-D-15-11755,Completed Reject
PONE-D-15-11766R3,Completed Accept
PONE-D-15-11769R2,Rebuttal
PONE-D-15-11781R1,Completed Accept
PONE-D-15-11782R2,Completed Accept
PONE-D-15-11791R1,Completed Accept
PONE-D-15-11805,Completed Reject
PONE-D-15-11807,Completed Reject
PONE-D-15-11810R1,Completed Accept
PONE-D-15-11815,Completed Reject
PONE-D-15-11816R2,Completed Accept
PONE-D-15-11823R3,Completed Accept
PONE-D-15-11830,Completed Reject
PONE-D-15-11833R3,Completed Accept
PONE-D-15-11837R2,Completed Reject
PONE-D-15-11845R1,Completed Accept
PONE-D-15-11847R2,Completed Accept
PONE-D-15-11866R2,Completed Accept
PONE-D-15-11873R2,Completed Accept
PONE-D-15-11877R1,Revise
PONE-D-15-11878R1,Completed Accept
PONE-D-15-11902,Completed Reject
PONE-D-15-11911R2,Completed Accept
PONE-D-15-11917,Completed Withdrawn
PONE-D-15-11919R1,Completed Accept
PONE-D-15-11920R1,Completed Accept
PONE-D-15-11921,Completed Reject
PONE-D-15-11932R1,Completed Accept
PONE-D-15-11935R1,Completed Accept
PONE-D-15-11942R1,Completed Accept
PONE-D-15-11944R2,Completed Accept
PONE-D-15-11947R1,Completed Accept
PONE-D-15-11951,Completed Reject
PONE-D-15-11953,Completed Withdrawn
